LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Eighth Street,MILDURA,C,Jun-2018,"Eighth Street, MILDURA",408,408.0,142.1553413,-34.1790955,"Eighth St, Mildura VIC 3500, Australia",2018-August-06
Eildon Parade,ROWVILLE,C,Jan-2018,"Eildon Parade, ROWVILLE",409,409.0,145.2508339,-37.9188578,"Eildon Parade, Rowville VIC 3178, Australia",2018-August-06
Eildon-Jamieson Road,EILDON,AC,Apr-2018,"Eildon-Jamieson Road, EILDON",410,410.0,146.0629535,-37.3220595,"Eildon-Jamieson Rd, Victoria, Australia",2018-August-06
Eildon-Jamieson Road,JAMIESON,ABC,Apr-2018,"Eildon-Jamieson Road, JAMIESON",411,411.0,146.0917948,-37.3060595,"Eildon-Jamieson Rd, Jamieson VIC 3723, Australia",2018-August-06
Elcho Road,LARA,BC,Apr-2018,"Elcho Road, LARA",412,412.0,144.358373,-38.0281364,"Elcho Rd, Lara VIC 3212, Australia",2018-August-06
Elder Street,WATSONIA,BC,Jul-2018,"Elder Street, WATSONIA",413,413.0,145.0897253,-37.7140191,"Elder St, Watsonia VIC 3087, Australia",2018-August-06
Eleventh Street,IRYMPLE,C,Jun-2018,"Eleventh Street, IRYMPLE",414,414.0,142.19705,-34.2227822,"Eleventh St, Mildura VIC 3500, Australia",2018-August-06
Eleventh Street,MILDURA,ABC,Jun-2018,"Eleventh Street, MILDURA",415,415.0,142.1665369,-34.1971756,"Eleventh St, Mildura VIC 3500, Australia",2018-August-06
Elgar Road,BOX HILL SOUTH,C,May-2018,"Elgar Road, BOX HILL SOUTH",416,416.0,145.1115844,-37.8363875999999,"Elgar Rd, Box Hill South VIC 3128, Australia",2018-August-06
Elgar Road,BURWOOD,C,May-2018,"Elgar Road, BURWOOD",417,417.0,145.1102562,-37.8425711999999,"Elgar Rd, Burwood VIC 3125, Australia",2018-August-06
Elizabeth Drive,SUNBURY,BC,Dec-2017,"Elizabeth Drive, SUNBURY",418,418.0,144.7206465,-37.5706034,"Elizabeth Dr, Sunbury VIC 3429, Australia",2018-August-06
Elizabeth Street,ARARAT,BC,Jul-2018,"Elizabeth Street, ARARAT",419,419.0,142.9393015,-37.2921388,"Elizabeth St, Ararat VIC 3377, Australia",2018-August-06
Elizabeth Street,COBURG,ABC,Apr-2018,"Elizabeth Street, COBURG",420,420.0,144.9820074,-37.7378498,"Elizabeth St, Coburg VIC 3058, Australia",2018-August-06
Elizabeth Street,EDENHOPE,C,Jul-2018,"Elizabeth Street, EDENHOPE",421,421.0,141.2898181,-37.0360789,"Elizabeth St, Edenhope VIC 3318, Australia",2018-August-06
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Apr-2018,"Eltham-Yarra Glen Road, CHRISTMAS HILLS",422,422.0,145.3084463,-37.6541486,"Eltham-Yarra Glen Rd, Christmas Hills VIC 3775, Australia",2018-August-06
Eltham-Yarra Glen Road,KANGAROO GROUND,AC,Apr-2018,"Eltham-Yarra Glen Road, KANGAROO GROUND",423,423.0,145.2366666,-37.6833806,"Eltham-Yarra Glen Rd, Kangaroo Ground VIC 3097, Australia",2018-August-06
Eltham-Yarra Glen Road,WATSONS CREEK,B,Apr-2018,"Eltham-Yarra Glen Road, WATSONS CREEK",424,424.0,145.2628062,-37.664946,"Eltham-Yarra Glen Rd, Watsons Creek VIC 3097, Australia",2018-August-06
