ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
337,Creswick Road,BALLARAT,C,Jul-2018,"Creswick Road, BALLARAT, VICTORIA, AUSTRALIA"
338,Creswick-Newstead Road,NEWSTEAD,C,May-2018,"Creswick-Newstead Road, NEWSTEAD, VICTORIA, AUSTRALIA"
339,Curlewis Road,CURLEWIS,C,Apr-2018,"Curlewis Road, CURLEWIS, VICTORIA, AUSTRALIA"
340,Dalmore Road,TOORADIN,B,Jul-2018,"Dalmore Road, TOORADIN, VICTORIA, AUSTRALIA"
341,Dalrymple Road,SUNBURY,C,Dec-2017,"Dalrymple Road, SUNBURY, VICTORIA, AUSTRALIA"
342,Dandenong Bypass,DANDENONG SOUTH,BC,Apr-2018,"Dandenong Bypass, DANDENONG SOUTH, VICTORIA, AUSTRALIA"
343,Dandenong Road,CAULFIELD NORTH,C,Jun-2018,"Dandenong Road, CAULFIELD NORTH, VICTORIA, AUSTRALIA"
344,Dandenong-Frankston Road,CARRUM DOWNS,ABC,May-2018,"Dandenong-Frankston Road, CARRUM DOWNS, VICTORIA, AUSTRALIA"
345,Dandenong-Hastings Road,CRANBOURNE,C,Jul-2018,"Dandenong-Hastings Road, CRANBOURNE, VICTORIA, AUSTRALIA"
346,Dargo road,LINDENOW,C,Apr-2018,"Dargo road, LINDENOW, VICTORIA, AUSTRALIA"
347,Darian Road,TORQUAY,BC,Apr-2018,"Darian Road, TORQUAY, VICTORIA, AUSTRALIA"
348,Darling Road,MALVERN EAST,C,Jul-2018,"Darling Road, MALVERN EAST, VICTORIA, AUSTRALIA"
349,Darlington Road,STAWELL,C,Jul-2018,"Darlington Road, STAWELL, VICTORIA, AUSTRALIA"
350,Dartmoor-Hamilton Road,HAMILTON,C,May-2018,"Dartmoor-Hamilton Road, HAMILTON, VICTORIA, AUSTRALIA"
351,Dartmoor-Hamilton Road,YULECART,ABC,Apr-2018,"Dartmoor-Hamilton Road, YULECART, VICTORIA, AUSTRALIA"
352,Deakin Avenue,MILDURA,ABC,Jun-2018,"Deakin Avenue, MILDURA, VICTORIA, AUSTRALIA"
353,Deep Creek Road,MITCHAM,BC,May-2018,"Deep Creek Road, MITCHAM, VICTORIA, AUSTRALIA"
354,Delatite Road,SEYMOUR,C,Apr-2018,"Delatite Road, SEYMOUR, VICTORIA, AUSTRALIA"
355,Dendy Street,BRIGHTON,A,Jun-2018,"Dendy Street, BRIGHTON, VICTORIA, AUSTRALIA"
356,Dendy Street,BRIGHTON EAST,ABC,Jun-2018,"Dendy Street, BRIGHTON EAST, VICTORIA, AUSTRALIA"
