LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
St Georges Road,NORTHCOTE,C,Apr-18,"St Georges Road, NORTHCOTE",1399,144.9902869,-37.7729939,"St Georges Rd, Northcote VIC 3070, Australia",2018-August-06,TRUE
St Helena Road,ST HELENA,AC,Apr-18,"St Helena Road, ST HELENA",1400,145.1303268,-37.6915283,"St Helena Rd, St Helena VIC 3088, Australia",2018-August-06,TRUE
Station Road,MELTON SOUTH,C,Apr-18,"Station Road, MELTON SOUTH",1401,144.5763519,-37.696358,"Station Rd, Melton South VIC 3338, Australia",2018-August-06,TRUE
Station Street,BOX HILL,C,May-18,"Station Street, BOX HILL",1402,145.1231937,-37.8214098,"Station St, Box Hill VIC 3128, Australia",2018-August-06,TRUE
Station Street,BOX HILL NORTH,C,May-18,"Station Street, BOX HILL NORTH",1403,145.1260448,-37.8064723,"Station St, Box Hill North VIC 3129, Australia",2018-August-06,TRUE
Station Street,BOX HILL SOUTH,C,May-18,"Station Street, BOX HILL SOUTH",1404,145.120394,-37.8366258,"Station St, Box Hill South VIC 3128, Australia",2018-August-06,TRUE
Station Street,FERNTREE GULLY,C,Jan-18,"Station Street, FERNTREE GULLY",1405,145.2941749,-37.8857704,"Station St, Ferntree Gully VIC 3156, Australia",2018-August-06,TRUE
Station Street,OFFICER,B,May-18,"Station Street, OFFICER",1406,145.4096408,-38.06308,"Station St, Officer VIC 3809, Australia",2018-August-06,TRUE
Stawell-Warracknabeal Road,GLENORCHY,C,Jul-18,"Stawell-Warracknabeal Road, GLENORCHY",1407,142.656106,-36.9229754,"Stawell-Warracknabeal Rd, Glenorchy VIC 3385, Australia",2018-August-06,TRUE
Stawell-Warracknabeal Road,SHEEP HILLS,C,Jul-18,"Stawell-Warracknabeal Road, SHEEP HILLS",1408,142.5150298,-36.3639271,"Stawell-Warracknabeal Rd, Sheep Hills VIC 3392, Australia",2018-August-06,TRUE
Stawell-Warracknabeal Road,WARRACKNABEAL,B,Jul-18,"Stawell-Warracknabeal Road, WARRACKNABEAL",1409,142.4233926,-36.2828111,"Stawell-Warracknabeal Rd, Warracknabeal VIC 3393, Australia",2018-August-06,TRUE
Stead Street,SALE,BC,Apr-18,"Stead Street, SALE",1410,147.0863431,-38.1046423,"Stead St, Sale VIC 3850, Australia",2018-August-06,TRUE
Stephensons Road,MOUNT WAVERLEY,C,May-18,"Stephensons Road, MOUNT WAVERLEY",1411,145.1284388,-37.8788518,"Stephensons Rd, Mount Waverley VIC 3149, Australia",2018-August-06,TRUE
Stony Point Road,CRIB POINT,BC,May-18,"Stony Point Road, CRIB POINT",1412,145.1965812,-38.3582383,"Stony Point Rd, Crib Point VIC 3919, Australia",2018-August-06,TRUE
Stotts Lane,FRANKSTON SOUTH,BC,May-18,"Stotts Lane, FRANKSTON SOUTH",1413,145.1513202,-38.1855428,"Stotts Ln, Frankston South VIC 3199, Australia",2018-August-06,TRUE
Strachans Road,MORNINGTON,BC,May-18,"Strachans Road, MORNINGTON",1414,145.0311685,-38.2333225,"Strachans Rd, Mornington VIC 3931, Australia",2018-August-06,TRUE
