row_index,location_long,location_short,longitude,latitude
22,"Monash Freeway, Northbound approximately 290m south of High Street, Glen Iris",Glen Iris,145.060078,-37.862776
23,"Glenferrie Road at the intersection of Glenferrie Road and Wellington Street, Kew",Kew,145.037599,-37.810199
24,"Charles Street at the intersection of Charles Street and Cotham Road, Kew",Kew,145.035324,-37.80747
25,"Chandler Highway at the intersection of Chandler Highway and Eastern Freeway, Kew",Kew,145.027546,-37.790676
26,"Manningham Road at the intersection of Manningham Road and Macedon Road, Templestowe Lower",Templestowe Lower,145.11204600334,-37.773364942102
27,"Balwyn Road at the intersection of Balwyn Road and Whitehorse Road, Balwyn",Balwyn,145.081179,-37.812988
28,"Canterbury Road at the intersection of Canterbury Road and Warrigal Road, Surrey Hills",Surrey Hills,145.099643,-37.826116
29,"Kooyong Road at the intersection of Kooyong Road and Malvern Road, Armadale",Armadale,145.021183,-37.850696
30,"Centre Road at the intersection of Centre Road and Huntingdale Road, Oakleigh South",Oakleigh South,145.10044813156,-37.926228652598
31,"Ferntree Gully Road at the intersection of Ferntree Gully Road and Clayton Road, Oakleigh",Oakleigh,145.124202,-37.899138
32,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.118008,-38.251999
33,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.129019,-38.216785
34,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston",Peninsula Link Frankston,145.172941,-38.141498
35,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston",Peninsula Link Frankston,145.173233,-38.141188
36,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.106524,-38.263141
37,"Burwood Highway at the intersection of Burwood Highway and Blackburn Road, Burwood East",Burwood East,145.152279,-37.852713
38,"Warrigal Road at the intersection of Warrigal Road and Highbury Road, Burwood",Burwood,145.095255,-37.853136
39,"Lightwood Road at the intersection of Lightwood Road and Corrigan Road, Noble Park",Noble Park,145.16896247864,-37.961542346426
