row_index,location_long,location_short,longitude,latitude,lga_code
239,"Nepean Highway at the intersection of Nepean Highway and Warrigal Road, Mentone",Mentone,145.071153,-37.98186831,23430
240,"Princes Highway at the intersection of Princes Highway and Belgrave Road, Malvern East",Malvern East,145.0673202,-37.88462209,26350
241,"At the intersection of Nepean Highway and Centre Road, Brighton East",Brighton East,145.017901,-37.916079,20910
242,"Punt Road at the intersection of Punt Road and Commercial Road, Melbourne",Melbourne,144.9849549,-37.84581435,24600
243,"Blackburn Road at the intersection of Blackburn Road and Burwood Highway, Burwood East",Burwood East,145.1520961,-37.85239324,26980
244,"Mont Albert Road at the intersection of Mont Albert Road and Union Road, Surrey Hills",Surrey Hills,145.0981884,-37.82041567,21110
245,"Mahoneys Road at the intersection of Mahoneys Road and High Street, Thomastown",Thomastown,145.0111735,-37.69485325,21890
246,"Whitehorse Road at the intersection of Whitehorse Road and Surrey Road, Blackburn",Blackburn,145.1560771,-37.81767499,26980
247,"Kings Road at the intersection of Kings Road and Melton Highway, Taylors Lakes",Taylors Lakes,144.781099,-37.69755286,21180
248,"The Boulevard at the intersection of The Boulevard and Melbourne Road, Norlane",Norlane,144.3547457,-38.09874997,22750
249,"Midland Highway, Eastbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot",Midland Highway Bagshot Eastbound,144.40449,-36.65400741,22620
250,"Midland Highway, Westbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot",Midland Highway Bagshot Westbound,144.4042486,-36.65394715,22620
251,"Sturt Street at the intersection of Sturt Street and Gillies Street, Lake Gardens",Lake Gardens,143.8187385,-37.55563943,20570
252,"At the intersection of Pascoe Vale Road and Peck Avenue, Strathmore",Strathmore,144.923851,-37.730116,25060
253,"Hume Freeway, Southbound 60m south of O'Herns Road, Epping",Hume Freeway Epping,144.9934548,-37.6347498,27070
254,"Princes Freeway, Forsyth Road Bridge, Geelong Bound, Point Cook",Princes Freeway Point Cook,144.7367513,-37.87354918,27260
255,"Princes Freeway, Point Wilson Road Bridge, Melbourne Bound, Little River",Princes Freeway Little River,144.5333219,-37.98186408,22750
256,"Foster Street at the intersection of Foster Street and McCrae Street, Dandenong",Dandenong,145.2182078,-37.98858249,22670
257,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren",Narre Warren,145.312598,-37.996825,21610
258,"High Street at the intersection of High Street and Don Street, Bendigo",Bendigo,144.2703152,-36.76350418,22620
259,"Centre Road at the intersection of Centre Road and Warrigal Road, Bentleigh East",Bentleigh East,145.0823084,-37.92394786,22310
260,"Ogilvie Avenue at the intersection of Ogilvie Avenue and High Street, Echuca",Echuca,144.7510636,-36.1400625,21370
261,"At the intersection of King Street and La Trobe Street, West Melbourne",West Melbourne,144.953907,-37.812296,24600
