Period,CSI,Transport Mode,Scale,Measure,Source Document,CSI bracket,year_full,month_short,date_full
Oct-Dec '16,75.0,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Oct,13-Oct-2016
Jan-Mar '17,77.1,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jan,13-Jan-2017
Apr-Jun '17,74.3,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Apr,13-Apr-2017
Jul-Sep '17,75.0,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jul,13-Jul-2017
Oct-Dec '17,77.2,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Oct,13-Oct-2017
Oct-Dec '12,68.2,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2012,Oct,13-Oct-2012
Jan-Mar '13,66.4,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jan,13-Jan-2013
Apr-Jun'13,68.3,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Apr,13-Apr-2013
Jul-Sep'13,69.3,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jul,13-Jul-2013
Oct-Dec '13,71.2,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Oct,13-Oct-2013
Jan-Mar '14,69.7,metro train,0-to-10-scale,on time,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jan,13-Jan-2014
